1,Russia,13
2,Norway,11
3,Canada,10
4,UnitedStates,9
5,Netherlands,8
6,Germany,8
7,Switzerland,6
8,Belarus,5
9,Austria,4
10,France,4
11,Poland,4
12,China,3
13,SouthKorea,3
14,Sweden,2
15,CzechRepublic,2
16,Slovenia,2
17,Japan,1
18,Finland,1
19,GreatBritain,1
20,Ukraine,1
21,Slovakia,1
